R_AIP	-43.545144	-31.367738	26.794037
R_EC	-20.233309	8.491101	-27.745989
R_PreS	-13.906839	-13.016238	-17.196503
R_H	-19.285832	1.704298	-19.949616
R_ProS	-16.605410	-29.515647	-11.140751
R_PeEc	-28.158966	12.715993	-27.957123
R_STGa	-50.075058	36.555988	-11.286060
R_PBelt	-49.628307	-9.697720	-1.135903
R_A5	-60.765381	2.421046	-3.571660
R_PHA1	-19.132730	-18.934546	-20.180052
R_PHA3	-27.106575	-22.088750	-20.389887
R_STSda	-57.632854	18.110375	-11.011284
R_STSdp	-55.810230	-10.606733	-8.253412
R_STSvp	-51.619150	-10.086717	-13.203610
R_TGd	-37.314484	35.225406	-29.851656
R_TE1a	-56.726882	17.222135	-22.416117
R_TE1p	-56.962276	-23.705022	-23.396273
R_TE2a	-54.060275	6.345165	-31.955292
R_TF	-36.770247	-1.803124	-28.218326
R_TE2p	-44.172561	-20.366201	-30.563215
R_PHT	-53.441398	-34.346014	-16.630811
R_PH	-39.603847	-39.341363	-24.620022
R_TPOJ1	-52.846485	-25.388922	-5.692986
R_TPOJ2	-52.147377	-40.158097	-11.176164
R_TPOJ3	-36.927859	-49.298889	-6.771920
R_DVT	-11.631626	-56.399846	9.949229
R_PGp	-33.950555	-65.879550	-2.436284
R_IP2	-36.818114	-34.256561	17.857626
R_IP1	-27.579477	-48.209697	12.704996
R_IP0	-25.831597	-58.876488	2.804265
R_PFop	-57.725542	-16.610073	11.616066
R_PF	-55.052994	-30.813011	14.777434
R_PFm	-44.810220	-45.425284	14.091607
R_PGi	-44.162251	-43.459273	-3.298752
R_PGs	-38.563560	-57.271775	8.246352
R_V6A	-11.992671	-70.906011	15.742239
R_VMV1	-11.080191	-38.282124	-20.312622
R_VMV3	-19.859754	-39.888667	-27.229535
R_PHA2	-26.104260	-23.236145	-16.877900
R_V4t	-41.253559	-59.311600	-18.763992
R_FST	-43.745663	-47.534059	-25.906731
R_V3CD	-32.098160	-64.453723	-16.829310
R_LO3	-36.035061	-56.250424	-10.793758
R_VMV2	-13.026511	-35.475843	-23.878930
R_31pd	-8.531874	-39.547366	23.829646
R_31a	-6.037098	-30.091380	25.929007
R_VVC	-26.352080	-32.799259	-27.249737
R_25	-7.397083	43.871902	-7.044290
R_s32	-10.201085	54.779460	-0.491946
R_pOFC	-14.123682	31.753647	-12.981041
R_PoI1	-37.327164	6.801827	-7.574926
R_Ig	-35.442291	-2.441231	5.824786
R_FOP5	-37.135311	36.577647	7.104253
R_p10p	-28.176261	63.931783	22.723465
R_p47r	-45.465978	53.324456	9.515512
R_TGv	-41.289589	19.170599	-37.068566
R_MBelt	-41.151711	-0.695561	-7.354608
R_LBelt	-44.651232	-12.585706	0.158771
R_A4	-55.106764	-7.176265	-1.527443
R_STSva	-50.982759	15.125002	-16.688954
R_TE1m	-60.515650	-3.521606	-21.415478
R_PI	-43.379452	22.069151	-14.994373
R_a32pr	-11.044666	33.917130	34.438380
R_p24	-12.095201	46.680629	23.947282
Left-Cerebellum-Cortex	-22.770454	-29.045628	-47.445595
Left-Thalamus-Proper	-12.155554	-0.512144	1.017188
_Left-Caudate	-15.908484	22.685619	9.925739
Left-Putamen	-26.635421	16.074687	-0.830101
Left-Pallidum	-21.108667	14.346580	-3.197509
Left-Hippocampus	-24.343083	-0.082060	-17.017193
Left-Amygdala	-23.775751	17.739381	-17.480520
